source,target,case_sensitive
банковская гарантия,банк кепілдігі,0
гарантийное обязательство,кепілдік міндеттеме,0
дополнительное соглашение,қосымша келісім,0
договор купли-продажи недвижимого имущества,жылжымайтын мүлікті сатып алу-сату шарты,0
акт приема-передачи имущества,мүлікті қабылдап алу-тапсыру актісі,0
приложение,қосымша,0
положение,ережe,0
наименование,атауы,0
юридический адрес,заңды мекенжайы,0
банковские реквизиты,банктік деректемелері,0
местонахождение,орналасқан жері,0
кадастровый номер,кадастрлық нөмірі,0
общая площадь,жалпы ауданы,0
техническое состояние,техникалық күй,0
земельный участок,жер учаскесі,0
оценочная стоимость,бағалау құны,0
непрофильное имущество,бейінді емес мүлік,0
залог недвижимого имущества,жылжымайтын мүлік кепілі,0
предмет залога,кепіл заты,0
акционерное общество,акционерлік қоғамы,0
общество с ограниченной ответственностью,жауапкершілігі шектеулі серіктестігі,0
именуемое в дальнейшем,бұдан әрі ... деп аталатын,0
далее совместно именуемые стороны,бұдан әрі бірлесіп тараптар деп,0
стороны,тараптар,0
продавец,сатушы,0
покупатель,сатып алушы,0
банк,банк,0
платежная организация,төлем ұйымы,0
в лице,атынан,0
действующего на основании,негізінде әрекет ететін,0
генеральный директор,бас директор,0
член правления,басқарма мүшесі,0
по доверенности,сенімхат негізінде,0
руководитель,бірінші басшы,0
главный бухгалтер,бас бухгалтер,0
электронно-цифровая подпись,электрондық-цифрлық қолтаңба,0
подписи,қолтаңбалары,0
приказываю,бұйырамын,0
постановляю,қаулы етемін,0
обязан,міндетті,0
должен,тиіс,0
запрещается,тыйым салынады,0
разрешается,рұқсат етіледі,0
вступает в силу,күшіне енеді,0
утвердить,бекіту,0
требовать,талап ету,0
вправе отказаться от исполнения,орындаудан бас тартуға құқылы,0
в одностороннем внесудебном порядке,біржақты соттан тыс тәртіпте,0
расторгнуть договор,шартты бұзу,0
общая стоимость,жалпы құны,0
вознаграждение,сыйақы,0
платеж,төлем,0
сумма,сома,0
пеня,өсімпұл,0
штраф,айыппұл,0
неустойка,тұрақсыздық айыбы,0
обеспечение исполнения обязательств,міндеттемелердің орындалуын қамтамасыз ету,0
обеспечение конкурсной заявки,конкурстық өтінімді қамтамасыз ету,0
исполнение договора,шарттың орындалуы,0
срок действия,қолданылу мерзімі,0
в течение,ішінде,0
рабочих дней,жұмыс күні,0
календарных дней,күнтізбелік күн,0
в установленный срок,белгіленген мерзімде,0
конкурсная документация,конкурстық құжаттама,0
открытый конкурс,ашық конкурс,0
победитель,жеңімпаз,0
сверка документов,құжаттарды салыстырып тексеру,0
форс-мажор,еңсерілмейтін күш,0
обстоятельства непреодолимой силы,еңсерілмейтін күш жағдайлары,0
уведомление,хабарлама,0
судебный порядок,сот тәртібі,0
переговоры,келіссөздер,0
право собственности,меншік құқығы,0
переход права собственности,меншік құқығын ауыстыру,0
приемка-передача,қабылдап алу-тапсыру,0
риск случайной гибели,кездейсоқ опат болу тәуекелі,0
повреждение имущества,мүліктің зақымдануы,0
улучшения имущества,мүлікті жақсарту,0
конфиденциальная информация,құпия ақпарат,0
персональные данные,дербес деректер,0
не разглашать,жария етпеуге,0
обработка персональных данных,дербес деректерді өңдеу,0
законодательство республики казахстан,қазақстан республикасының заңнамасы,0
нотариус,нотариус,0
нотариальное удостоверение,нотариат куәландыруы,0
согласие супруга,күйеуінің (әйелінің) келісімі,0
не состоит в браке,некеде тұрмайды,0
настоящая гарантия действует,осы кепілдік қолданылады,0
первое письменное требование,алғашқы жазбаша талап,0
безотзывное обязательство,қайтарымсыз міндеттеме,0
подписной бонус,қол қою бонусы,0
личный кабинет,Жеке кабинет,0
информационно-технологическое обслуживание,ақпараттық-технологиялық қызмет көрсету,0
АО,АҚ,1
ТОО,ЖШС,1
БИН,БСН,1
ИИН,ЖСН,1
БИК,БСК,1
РГУ,РММ,1
г.,қ.,1
ул.,к-сі,1
м.п.,м.о.,1
бланки строгой отчетности,қатаң есептегі бланкілер,0
уничтожение бланков строгой отчетности,қатаң есептегі бланкілерді жою,0
создать комиссию,комиссия құру,0
состав комиссии,комиссия құрамы,0
председатель комиссии,комиссия төрағасы,0
члены комиссии,комиссия мүшелері,0
главный бухгалтер филиала Банка,Банк филиалының Бас бухгалтері,0
Направление канцелярии,Кеңсе бағыты,0
Направление безопасности,Қауіпсіздік бағыты,0
ФИО,Аты-жөні,1
звание/должность,лауазымы/атағы,0
Инструкция,Нұсқаулық,0
Приложение №6,№6 қосымша,1
к Инструкции,Нұсқаулыққа,0
в соответствии с,сәйкес,0
утверждено,бекітілген,0
ПРИКАЗЫВАЮ,БҰЙЫРАЙМЫН,1
настоящий приказ,осы бұйрық,0
настоящий приказ вступает в силу с даты подписания,осы бұйрық қол қойған күнінен бастап күшіне енеді,0
действует до его отмены в установленном порядке,белгіленген тәртіппен күшін жою күніне дейін қолданылады,0
считать утратившим силу приказ,бұйрығының күші жойылған деп танылсын,0
довести настоящий приказ до сведения всех заинтересованных лиц,осы бұйрықты барлық мүдделі тұлғалардың назарына жеткізсін,0
контроль за исполнением возложить на,орындалуын бақылау … жүктелсін,0
операционный бэк-офис,операциялық бэк-офис,0
филиал Банка,Банк филиалы,0
филиал АО «ForteBank»,«ForteBank» АҚ филиалы,1
ежеквартально,тоқсан сайын,0
акт об уничтожении,жою туралы акт,0
испорченные бланки строгой отчетности,қатаң есептілігі бұзылған бланкілер,0
по форме согласно,нысан бойынша,0
согласно Приложению,Қосымшаға сәйкес,0
г.,қ.,1

